cohortId,targetId,targetName,strataId,strataName,cohortType
47,47,Newly diagnosed Pca,0,All,Target
141,141,Newly diagnosed Pca (biopsy or PSA GT 50),0,All,Target
49,49,PCa treated right away,0,All,Target
142,142,PCa treated right away (biopsy or PSA GT 50),0,All,Target
137,137,PCa under conservative management,0,All,Target
138,138,PCa high/intermediate risk conservative management,0,All,Target
126,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),0,All,Target
139,139,PCa low risk grade conservative management and no intense monitoring,0,All,Target
127,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),0,All,Target
140,140,PCa low risk grade conservative management and intense monitoring,0,All,Target
128,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),0,All,Target
125,125,PCa under conservative management (biopsy or PSA GT 50),0,All,Target
143,143,PCa treated after conservative management,0,All,Target
144,144,Delayed Curative Management,0,All,Target
131,131,Delayed Curative Management (biopsy or PSA GT 50),0,All,Target
145,145,Delayed Palliative Management,0,All,Target
132,132,Delayed Palliative Management (biopsy or PSA GT 50),0,All,Target
129,129,PCa treated after conservative management (biopsy or PSA GT 50),0,All,Target
47000522,47,Newly diagnosed Pca,52,without EAU High Risk,TwoS
49000522,49,PCa treated right away,52,without EAU High Risk,TwoS
125000522,125,PCa under conservative management (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
126000522,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
127000522,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
128000522,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
129000522,129,PCa treated after conservative management (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
131000522,131,Delayed Curative Management (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
132000522,132,Delayed Palliative Management (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
